Column1;Column2;Column3;Column4;Column5
Оптический датчик расстояния LANBAO PDB-CC50TGI;30 550 руб.;;https://sensoren.ru/product/opticheskiy_datchik_rasstoyaniya_lanbao_pdb_cc50tgi/;в наличии
Датчик скорости вращения IFM Electronic DI602A;;;https://sensoren.ru/product/datchik_skorosti_vrashcheniya_ifm_electronic_di602a/;под заказ
;;;https://sensoren.ru/product/datchik_skorosti_vrashcheniya_sensor_dks_m30_81s_1113_lg_01/;
;;;https://sensoren.ru/product/opticheskiy_datchik_rasstoyaniya_lanbao_pda_cc100tgi/;
;;;https://sensoren.ru/product/datchik_skorosti_vrashcheniya_ifm_electronic_di0101/;
;;;https://sensoren.ru/product/opticheskiy_datchik_rasstoyaniya_lanbao_pda_cc50tgi/;
;;;https://sensoren.ru/product/magnitostriktsionnye-datchiki-lineynykh-peremeshcheniy-mts-sensors-temposonics-rh/;
;;;https://sensoren.ru/product/opticheskiy_datchik_rasstoyaniya_ifm_electronic_o5d100/;
;;;https://sensoren.ru/product/datchik_skorosti_vrashcheniya_ifm_electronic_di5020/;
Ультразвуковой датчик TURCK RU130U-EM30E-LIU2PN8X2T-H1151/3GD;151 300 руб.;"Страна происхождения:; Германия; Тип ультразвукового датчика:; диффузионный; Размер резьбы корпуса:; M30";https://sensoren.ru/product/ultrazvukovoy_datchik_turck_ru130u_em30e_liu2pn8x2t_h1151_3gd/;под заказ
Индуктивный датчик LANBAO LR18XCN08DPCJ;10 140 руб.;"Страна происхождения:; Китай; Серия:; LR_J; Частота оборотов, об/мин:; 3-3000; Температура эксплуатации Max, °C:; 70; Температура эксплуатации Min, °C:; -25; Сертификат соответствия:; CE+EAC";https://sensoren.ru/product/induktivnyy_datchik_lanbao_lr18xcn08dpcj/;под заказ
Лазерный датчик расстояния DATASENSING S67-MH-5-Y13-V;184 519 руб.;"Серия:; S67; Источник излучения:; Лазер; Диапазоны измерения расстояния:; < 1000 мм; Дальность измерения Max, мм:; 600; Размер прямоугольного корпуса, мм:; 20x65x50";https://sensoren.ru/product/lazernyy_datchik_rasstoyaniya_datalogic_s67_mh_5_y13_v/;под заказ
Ультразвуковой датчик Banner Q45UR3LIU64C;140 000 руб.;"Число контактов, pin:; 5; Серия:; Q45UR; Защита от перегрузки:; да; Температура эксплуатации Max, °C:; 70; Температура эксплуатации Min, °C:; -25";https://sensoren.ru/product/ultrazvukovoy_datchik_banner_q45ur3liu64c/;под заказ
Ультразвуковой датчик Pepperl Fuchs UC500-30GM70-UE2R2-V15;80 900 руб.;"Серия:; UC; Температура эксплуатации Max, °C:; 70; Температура эксплуатации Min, °C:; -25; Размер резьбы корпуса:; M30";https://sensoren.ru/product/ultrazvukovoy_datchik_pepperl_fuchs_uc500_30gm70_ue2r2_v15/;под заказ
Ультразвуковой датчик Pepperl Fuchs UB800-F12-I-V15;95 800 руб.;"Серия:; UB; Температура эксплуатации Max, °C:; 70; Температура эксплуатации Min, °C:; -15";https://sensoren.ru/product/ultrazvukovoy_datchik_pepperl_fuchs_ub800_f12_i_v15/;под заказ
Лазерный датчик расстояния Pepperl Fuchs OQT150-R101-EP-IO-V3;30 800 руб.;"Серия:; OQT150; Источник излучения:; Светодиод LED; Диапазоны измерения расстояния:; < 1000 мм; Дальность измерения Min, мм:; 5; Дальность измерения Max, мм:; 150; Температура эксплуатации Max, °C:; 60";https://sensoren.ru/product/lazernyy_datchik_rasstoyaniya_pepperl_fuchs_oqt150_r101_ep_io_v3/;под заказ
Лазерный датчик расстояния Banner Q4XTBCOD300-Q8;118 400 руб.;"Разрешение, мм:; 1; Режим измерения:; Отражение от объекта; Диапазоны измерения расстояния:; < 1000 мм; Дальность измерения Min, мм:; 25; Дальность измерения Max, мм:; 300";https://sensoren.ru/product/lazernyy_datchik_rasstoyaniya_banner_q4xtbcod300_q8/;под заказ
Индуктивный датчик LANBAO LR30XCN15DNCJ;10 280 руб.;"Страна происхождения:; Китай; Серия:; LR_J; Частота оборотов, об/мин:; 3-3000; Температура эксплуатации Max, °C:; 70; Температура эксплуатации Min, °C:; -25; Сертификат соответствия:; CE+EAC";https://sensoren.ru/product/induktivnyy_datchik_lanbao_lr30xcn15dncj/;под заказ
Ультразвуковой датчик расстояния IFM Electronic UGT586;43 900 руб.;"Класс защиты:; III; Температура эксплуатации Max, °C:; 70; Температура эксплуатации Min, °C:; -20; Размер резьбы корпуса:; M18";https://sensoren.ru/product/ultrazvukovoy_datchik_rasstoyaniya_ifm_electronic_ugt586/;под заказ
Лазерный датчик расстояния Leuze Electronic ODSLR 96B M/C6-2000-S12;180 935 руб.;"Класс защиты:; 2; Размер светового пятна, мм:; 2x6; Число контактов, pin:; 5; Класс лазера:; 2; Серия:; 96; Источник излучения:; Лазер";https://sensoren.ru/product/lazernyy_datchik_rasstoyaniya_leuze_electronic_odslr_96b_m_c6_2000_s12/;под заказ
Ультразвуковой датчик расстояния Leuze Electronic DMU430B-3000.X3/LTV-M12;126 237 руб.;"Класс защиты:; III; Число контактов, pin:; 5; Серия:; 430; Температура эксплуатации Max, °C:; 70; Кодировка разъема:; A-coded; Температура эксплуатации Min, °C:; -25";https://sensoren.ru/product/ultrazvukovoy_datchik_rasstoyaniya_leuze_electronic_dmu430b_3000_x3_ltv_m12/;под заказ
Индуктивный датчик линейных перемещений Pepperl Fuchs PMI120-F90-IU2EP-IO-V15-3G-3D;91 300 руб.;"Разрешение, бит:; 16; Серия:; F90; Разрешение, мкм:; 50; Температура эксплуатации Max, °C:; 85; Температура эксплуатации Min, °C:; -25";https://sensoren.ru/product/induktivnyy_datchik_lineynykh_peremeshcheniy_pepperl_fuchs_pmi120_f90_iu2ep_io_v15_3g_3d/;под заказ
Ультразвуковой датчик IFM Electronic UIT500;69 500 руб.;"Страна происхождения:; Германия; Серия:; UIT; Температура эксплуатации Max, °C:; 70; Температура эксплуатации Min, °C:; -20";https://sensoren.ru/product/ultrazvukovoy_datchik_ifm_electronic_uit500/;под заказ
Инклинометр SICK TMS61B-PCH360;57 610 руб.;"Страна происхождения:; Германия; Серия:; TMS61B; Температура эксплуатации Max, °C:; 80; Температура эксплуатации Min, °C:; -40; Размер прямоугольного корпуса, мм:; 68x36,3x20,7";https://sensoren.ru/product/inklinometr_sick_tms61b_pch360/;под заказ
Лазерный датчик расстояния Banner LTF24KC2LDQ;259 700 руб.;"Разрешение, мм:; 3; Режим измерения:; Отражение от объекта; Диапазоны измерения расстояния:; 20 м ...< 50 м; Дальность измерения Min, м:; 0,05; Дальность измерения Max, м:; 24; Дальность измерения Min, мм:; 50";https://sensoren.ru/product/lazernyy_datchik_rasstoyaniya_banner_ltf24kc2ldq/;под заказ
Ультразвуковой датчик Banner T30UUNAQ;128 600 руб.;"Число контактов, pin:; 5; Серия:; T30U; Защита от перегрузки:; да; Температура эксплуатации Max, °C:; 70; Температура эксплуатации Min, °C:; -20; Размер резьбы корпуса:; M30";https://sensoren.ru/product/ultrazvukovoy_datchik_turck_t30uunaq/;под заказ
Ультразвуковой датчик Banner T30UINB W/30;157 400 руб.;"Число контактов, pin:; 5; Серия:; T30U; Защита от перегрузки:; да; Температура эксплуатации Max, °C:; 70; Температура эксплуатации Min, °C:; -20; Размер резьбы корпуса:; M30";https://sensoren.ru/product/ultrazvukovoy_datchik_turck_t30uinb_w_30/;под заказ
Индуктивный датчик расстояния LANBAO LR12XCN04LUM-E2;6 190 руб.;"Число контактов, pin:; 4; Страна происхождения:; Китай; Серия:; LR_M; Температура эксплуатации Max, °C:; 70; Температура эксплуатации Min, °C:; -25; Сертификат соответствия:; CE+EAC+UL";https://sensoren.ru/product/induktivnyy_datchik_rasstoyaniya_lanbao_lr12xcn04lum_e2/;под заказ
Лазерный датчик расстояния Wenglor P1KY004;86 300 руб.;"Класс защиты:; 3; Число контактов, pin:; 4; Класс лазера:; 1; Источник излучения:; Лазер; Материал линзы:; PMMA; Время отклика, мс:; 0,5";https://sensoren.ru/product/lazernyy_datchik_rasstoyaniya_wenglor_p1ky004/;под заказ
Ультразвуковой датчик Pepperl Fuchs UC2000-30GM70S-IE2R2-V15;90 700 руб.;"Серия:; UC; Температура эксплуатации Max, °C:; 70; Температура эксплуатации Min, °C:; -25; Размер резьбы корпуса:; M30";https://sensoren.ru/product/ultrazvukovoy_datchik_pepperl_fuchs_uc2000_30gm70s_ie2r2_v15/;под заказ
Ультразвуковой датчик Pepperl Fuchs UB6000-F42-U-V15;73 900 руб.;"Серия:; UB; Температура эксплуатации Max, °C:; 70; Температура эксплуатации Min, °C:; -25";https://sensoren.ru/product/ultrazvukovoy_datchik_pepperl_fuchs_ub6000_f42_u_v15/;под заказ
Лазерный датчик расстояния Pepperl Fuchs VDM18-100/20/88/122/151;299 000 руб.;"Серия:; VDM18; Источник излучения:; Лазер; Метод измерения:; Триангуляция; Диапазоны измерения расстояния:; < 1000 мм; Дальность измерения Min, мм:; 30; Дальность измерения Max, мм:; 100";https://sensoren.ru/product/lazernyy_datchik_rasstoyaniya_pepperl_fuchs_vdm18_100_20_88_122_151/;под заказ
Ультразвуковой датчик IFM Electronic UIT513;89 700 руб.;"Страна происхождения:; Германия; Серия:; UIT; Температура эксплуатации Max, °C:; 70; Температура эксплуатации Min, °C:; -20";https://sensoren.ru/product/ultrazvukovoy_datchik_ifm_electronic_uit513/;под заказ
Инклинометр SICK TMS88B-ALC360;56 100 руб.;"Страна происхождения:; Германия; Серия:; TMS88B; Температура эксплуатации Max, °C:; 80; Температура эксплуатации Min, °C:; -40; Размер прямоугольного корпуса, мм:; 58x90x31";https://sensoren.ru/product/inklinometr_sick_tms88b_alc360/;под заказ
Ультразвуковой датчик SICK UC30-215163;72 770 руб.;"Страна происхождения:; Германия; Серия:; UC30; Температура эксплуатации Max, °C:; 70; Температура эксплуатации Min, °C:; -25";https://sensoren.ru/product/ultrazvukovoy_datchik_sick_uc30_215163/;под заказ
Лазерный датчик расстояния Banner LE550IC1Q;209 400 руб.;"Разрешение, мм:; 1; Режим измерения:; Отражение от объекта; Диапазоны измерения расстояния:; 1 м ...< 10 м; Дальность измерения Min, м:; 0,1; Дальность измерения Max, м:; 1";https://sensoren.ru/product/lazernyy_datchik_rasstoyaniya_banner_le550ic1q/;под заказ
Датчик линейных перемещений TURCK LTX700M-F10-SSI2-GAF1-X3-H1161;227 300 руб.;"Конструкция:; Стержневой для установки в гидроцилиндры; Страна происхождения:; США; Разрешение:; 0.005; Давление в цилиндре max, Бар:; 680; Температура эксплуатации Max, °C:; 85";https://sensoren.ru/product/datchik_lineynykh_peremeshcheniy_turck_ltx700m_f10_ssi2_gaf1_x3_h1161/;под заказ
Ультразвуковой датчик TURCK RU50U-S18-LI8X;29 300 руб.;"Страна происхождения:; Германия; Поверхность корпуса:; Желтый; Тип ультразвукового датчика:; диффузионный; Размер резьбы корпуса:; M18";https://sensoren.ru/product/ultrazvukovoy_datchik_turck_ru50u_s18_li8x/;под заказ
Ультразвуковой датчик Banner T30UDNA;106 600 руб.;"Число контактов, pin:; 5; Тип ультразвукового датчика:; диффузионный; Серия:; T30U; Защита от перегрузки:; да; Температура эксплуатации Max, °C:; 70; Температура эксплуатации Min, °C:; -20";https://sensoren.ru/product/ultrazvukovoy_datchik_turck_t30udna/;под заказ
Ультразвуковой датчик Banner S18UIARQ;100 300 руб.;"Число контактов, pin:; 5; Тип ультразвукового датчика:; диффузионный; Серия:; S18U; Температура эксплуатации Max, °C:; 60; Температура эксплуатации Min, °C:; -20; Размер резьбы корпуса:; M18";https://sensoren.ru/product/ultrazvukovoy_datchik_turck_s18uiarq/;под заказ
Ультразвуковой датчик Banner S18UIAR W/30;124 200 руб.;"Число контактов, pin:; 5; Серия:; S18U; Температура эксплуатации Max, °C:; 60; Температура эксплуатации Min, °C:; -20; Размер резьбы корпуса:; M18";https://sensoren.ru/product/ultrazvukovoy_datchik_turck_s18uiar_w_30/;под заказ
Ультразвуковой датчик TURCK RU600U-M30E-LIU2PN8X2T-H1151;157 100 руб.;"Страна происхождения:; Германия; Поверхность корпуса:; С никелевым покрытием; Тип ультразвукового датчика:; диффузионный; Размер резьбы корпуса:; M30";https://sensoren.ru/product/ultrazvukovoy_datchik_turck_ru600u_m30e_liu2pn8x2t_h1151/;под заказ
Ультразвуковой датчик расстояния Microsonic zws-15/CI/QS;60 400 руб.;"Разрешение, мм:; 0,056; Число контактов, pin:; 4; Серия:; ZWS; Температура эксплуатации Max, °C:; 70; Температура эксплуатации Min, °C:; -25";https://sensoren.ru/product/ultrazvukovoy_datchik_rasstoyaniya_microsonic_zws_15_ci_qs/;под заказ
Ультразвуковой датчик расстояния IFM Electronic UGT520;52 900 руб.;"Класс защиты:; III; Температура эксплуатации Max, °C:; 70; Температура эксплуатации Min, °C:; -20; Размер резьбы корпуса:; M18";https://sensoren.ru/product/ultrazvukovoy_datchik_rasstoyaniya_ifm_electronic_ugt520/;под заказ
Индуктивный датчик расстояния Wenglor IW045CM65MG3;29 100 руб.;"Класс защиты:; III; Число контактов, pin:; 4; Температура эксплуатации Max, °C:; 70; Температура эксплуатации Min, °C:; -10; Размер резьбы корпуса:; M18";https://sensoren.ru/product/induktivnyy_datchik_rasstoyaniya_wenglor_iw045cm65mg3/;под заказ
Ультразвуковой датчик расстояния Leuze Electronic DMU430B-6000/4TC-M12;122 809 руб.;"Класс защиты:; III; Число контактов, pin:; 5; Серия:; 430; Температура эксплуатации Max, °C:; 70; Кодировка разъема:; A-coded; Температура эксплуатации Min, °C:; -25";https://sensoren.ru/product/ultrazvukovoy_datchik_rasstoyaniya_leuze_electronic_dmu430b_6000_4tc_m12/;под заказ
Индуктивный датчик линейных перемещений Pepperl Fuchs PMI14V-F112-2EPE2-IO-V15;60 800 руб.;"Серия:; F112; Разрешение, мкм:; 33; Температура эксплуатации Max, °C:; 70; Температура эксплуатации Min, °C:; -25";https://sensoren.ru/product/induktivnyy_datchik_lineynykh_peremeshcheniy_pepperl_fuchs_pmi14v_f112_2epe2_io_v15/;под заказ
Инклинометр Pepperl Fuchs INY030D-F99-2I2E2-25M;132 000 руб.;"Серия:; INY; Разрешение, °:; 0,01; Температура эксплуатации Max, °C:; 85; Температура эксплуатации Min, °C:; -40";https://sensoren.ru/product/inklinometr_pepperl_fuchs_iny030d_f99_2i2e2_25m/;под заказ
Инклинометр Pepperl Fuchs INX360DH-F199-B16-2V15;121 200 руб.;"Серия:; INX; Разрешение, °:; 0,01; Температура эксплуатации Max, °C:; 85; Температура эксплуатации Min, °C:; -40";https://sensoren.ru/product/inklinometr_pepperl_fuchs_inx360dh_f199_b16_2v15/;под заказ
Ультразвуковой датчик Pepperl Fuchs UC500-L2M-U-T-2M;107 200 руб.;"Серия:; UC; Температура эксплуатации Max, °C:; 70; Температура эксплуатации Min, °C:; -40";https://sensoren.ru/product/ultrazvukovoy_datchik_pepperl_fuchs_uc500_l2m_u_t_2m/;под заказ
Ультразвуковой датчик Pepperl Fuchs UC4000-L2-I-V15-Y305489;115 800 руб.;"Серия:; UC; Температура эксплуатации Max, °C:; 70; Температура эксплуатации Min, °C:; -25";https://sensoren.ru/product/ultrazvukovoy_datchik_pepperl_fuchs_uc4000_l2_i_v15_y305489/;под заказ
Ультразвуковой датчик Pepperl Fuchs UC1000-30GM-IUR2-K-V15;113 100 руб.;"Серия:; UC; Температура эксплуатации Max, °C:; 70; Температура эксплуатации Min, °C:; -25; Размер резьбы корпуса:; M30";https://sensoren.ru/product/ultrazvukovoy_datchik_pepperl_fuchs_uc1000_30gm_iur2_k_v15/;под заказ
Ультразвуковой датчик Pepperl Fuchs UC1500-F65-IE2R2-V15;123 100 руб.;"Серия:; UC; Температура эксплуатации Max, °C:; 70; Температура эксплуатации Min, °C:; -25";https://sensoren.ru/product/ultrazvukovoy_datchik_pepperl_fuchs_uc1500_f65_ie2r2_v15/;под заказ
Лазерный датчик расстояния Pepperl Fuchs VDM28-8-L1-IR-IO/73C/110/122;96 400 руб.;"Класс лазера:; 1; Серия:; VDM28; Источник излучения:; Лазер; Метод измерения:; Pulse Ranging Technology (PRT) Технология импульсного измерения; Диапазоны измерения расстояния:; 1 м ...< 10 м; Дальность измерения Min, м:; 0,2";https://sensoren.ru/product/lazernyy_datchik_rasstoyaniya_pepperl_fuchs_vdm28_8_l1_ir_io_73c_110_122/;под заказ
Лазерный датчик расстояния Pepperl Fuchs OMT300-R200-2EP-IO-V1;71 100 руб.;"Разрешение, мм:; 0,1; Серия:; OMT300; Источник излучения:; Светодиод LED; Диапазоны измерения расстояния:; < 1000 мм; Дальность измерения Min, мм:; 100; Дальность измерения Max, мм:; 300";https://sensoren.ru/product/lazernyy_datchik_rasstoyaniya_pepperl_fuchs_omt300_r200_2ep_io_v1/;под заказ
Индуктивный датчик расстояния Pepperl Fuchs NBB5-18GM60-I-V1;41 900 руб.;"Серия:; NBB5; Температура эксплуатации Max, °C:; 70; Температура эксплуатации Min, °C:; -25; Размер резьбы корпуса:; M18";https://sensoren.ru/product/induktivnyy_datchik_rasstoyaniya_pepperl_fuchs_nbb5_18gm60_i_v1/;под заказ
Инклинометр SICK TMS88B-PLC360;74 290 руб.;"Страна происхождения:; Германия; Серия:; TMS88B; Температура эксплуатации Max, °C:; 80; Температура эксплуатации Min, °C:; -40; Размер прямоугольного корпуса, мм:; 66x90x36";https://sensoren.ru/product/inklinometr_sick_tms88b_plc360/;под заказ
Инклинометр SICK TMM88B-AKC090;56 100 руб.;"Страна происхождения:; Германия; Серия:; TMM88B; Температура эксплуатации Max, °C:; 80; Температура эксплуатации Min, °C:; -40";https://sensoren.ru/product/inklinometr_sick_tmm88b_akc090/;под заказ
Лазерный датчик расстояния Banner LTF12UC2LD;185 500 руб.;"Разрешение, мм:; 3; Режим измерения:; Отражение от объекта; Диапазоны измерения расстояния:; 10 м ...< 20 м; Дальность измерения Min, м:; 0,05; Дальность измерения Max, м:; 12; Дальность измерения Min, мм:; 50";https://sensoren.ru/product/lazernyy_datchik_rasstoyaniya_banner_ltf12uc2ld/;под заказ
Лазерный датчик расстояния Banner LTF12KC2LDQP;193 500 руб.;"Разрешение, мм:; 3; Режим измерения:; Отражение от объекта; Метод измерения:; Диффузионный датчик с настраиваемым подавлением переднего фона; Диапазоны измерения расстояния:; 10 м ...< 20 м; Дальность измерения Min, м:; 0,05; Дальность измерения Max, м:; 12";https://sensoren.ru/product/lazernyy_datchik_rasstoyaniya_banner_ltf12kc2ldqp/;под заказ
Лазерный датчик расстояния Banner LTF12IC2LD W/30;211 200 руб.;"Разрешение, мм:; 3; Режим измерения:; Отражение от объекта; Метод измерения:; Диффузионный датчик с настраиваемым подавлением переднего фона; Диапазоны измерения расстояния:; 10 м ...< 20 м; Дальность измерения Min, м:; 0,05; Дальность измерения Max, м:; 12";https://sensoren.ru/product/lazernyy_datchik_rasstoyaniya_banner_ltf12ic2ld_w_30/;под заказ
Лазерный датчик расстояния Banner Q4XFNLAF110-Q8;118 400 руб.;"Разрешение, мм:; 0,15; Режим измерения:; Отражение от объекта; Диапазоны измерения расстояния:; < 1000 мм; Дальность измерения Min, мм:; 35; Дальность измерения Max, мм:; 110";https://sensoren.ru/product/lazernyy_datchik_rasstoyaniya_banner_q4xfnlaf110_q8/;под заказ
Датчик линейных перемещений TURCK LTX100M-F10-SSI2-GAF1-X3-H1161;195 200 руб.;"Конструкция:; Стержневой для установки в гидроцилиндры; Страна происхождения:; США; Разрешение:; 0.005; Давление в цилиндре max, Бар:; 680; Температура эксплуатации Max, °C:; 85";https://sensoren.ru/product/datchik_lineynykh_peremeshcheniy_turck_ltx100m_f10_ssi2_gaf1_x3_h1161/;под заказ
Ультразвуковой датчик Banner S18UUAQ;97 100 руб.;"Число контактов, pin:; 5; Тип ультразвукового датчика:; диффузионный; Серия:; S18U; Температура эксплуатации Max, °C:; 60; Температура эксплуатации Min, °C:; -20; Размер резьбы корпуса:; M18";https://sensoren.ru/product/ultrazvukovoy_datchik_turck_s18uuaq/;под заказ
Лазерный датчик расстояния Wenglor PNBC001;895 300 руб.;"Класс защиты:; 3; Размер светового пятна, мм:; 0,15; Число контактов, pin:; 8; Класс лазера:; 2; Источник излучения:; Лазер; Материал линзы:; Стекло";https://sensoren.ru/product/lazernyy_datchik_rasstoyaniya_wenglor_pnbc001/;под заказ
Ультразвуковой датчик расстояния Leuze Electronic DMU318-400.W3/4CK-M12;38 304 руб.;"Класс защиты:; III; Число контактов, pin:; 5; Серия:; 318; Температура эксплуатации Max, °C:; 70; Кодировка разъема:; A-coded; Температура эксплуатации Min, °C:; -20";https://sensoren.ru/product/ultrazvukovoy_datchik_rasstoyaniya_leuze_electronic_dmu318_400_w3_4ck_m12/;под заказ
Инклинометр Pepperl Fuchs INY030D-F99-2U-V15;111 100 руб.;"Серия:; INY; Разрешение, °:; 0,01; Температура эксплуатации Max, °C:; 85; Температура эксплуатации Min, °C:; -40";https://sensoren.ru/product/inklinometr_pepperl_fuchs_iny030d_f99_2u_v15/;под заказ
Ультразвуковой датчик Pepperl Fuchs UC6000-30GM70-IE2R2-V15-Y70108628;115 000 руб.;"Серия:; UC; Температура эксплуатации Max, °C:; 70; Температура эксплуатации Min, °C:; -40; Размер резьбы корпуса:; M30";https://sensoren.ru/product/ultrazvukovoy_datchik_pepperl_fuchs_uc6000_30gm70_ie2r2_v15_y70108628/;под заказ
Ультразвуковой датчик Pepperl Fuchs UB6000-F42-I-V1-Y220443;106 300 руб.;"Серия:; UB; Температура эксплуатации Max, °C:; 70; Температура эксплуатации Min, °C:; -25";https://sensoren.ru/product/ultrazvukovoy_datchik_pepperl_fuchs_ub6000_f42_i_v1_y220443/;под заказ
Ультразвуковой датчик Pepperl Fuchs UC400-F77-IU-IO-V31;51 600 руб.;"Серия:; UC; Температура эксплуатации Max, °C:; 60; Температура эксплуатации Min, °C:; -25";https://sensoren.ru/product/ultrazvukovoy_datchik_pepperl_fuchs_uc400_f77_iu_io_v31/;под заказ
Лазерный датчик расстояния Pepperl Fuchs OQT150-R100-2EP-IO-IR;31 400 руб.;"Серия:; OQT150; Источник излучения:; Светодиод LED; Диапазоны измерения расстояния:; < 1000 мм; Дальность измерения Min, мм:; 5; Дальность измерения Max, мм:; 150; Температура эксплуатации Max, °C:; 60";https://sensoren.ru/product/lazernyy_datchik_rasstoyaniya_pepperl_fuchs_oqt150_r100_2ep_io_ir/;под заказ
Лазерный датчик расстояния Pepperl Fuchs VDM28-15-L1/73c/136;96 400 руб.;"Класс лазера:; 1; Серия:; VDM28; Источник излучения:; Лазер; Метод измерения:; Pulse Ranging Technology (PRT) Технология импульсного измерения; Диапазоны измерения расстояния:; 10 м ...< 20 м; Дальность измерения Min, м:; 0,2";https://sensoren.ru/product/lazernyy_datchik_rasstoyaniya_pepperl_fuchs_vdm28_15_l1_73c_136/;под заказ
Лазерный датчик расстояния SICK DT500-A311;327 470 руб.;"Размер светового пятна, мм:; 10 x 45 x 100; Класс лазера:; 2; Страна происхождения:; Германия; Серия:; Dx500; Диапазоны измерения расстояния:; 1 м ...< 10 м; Дальность измерения Min, м:; 0,2";https://sensoren.ru/product/lazernyy_datchik_rasstoyaniya_sick_dt500_a311/;под заказ
Оптический датчик расстояния LANBAO PDB-CM8TGI;30 550 руб.;;https://sensoren.ru/product/opticheskiy_datchik_rasstoyaniya_lanbao_pdb_cm8tgi/;в наличии
Оптический датчик расстояния IFM Electronic O1D100;43 900 руб.;;https://sensoren.ru/product/opticheskiy_datchik_rasstoyaniya_ifm_electronic_o1d100/;в наличии
Оптический датчик расстояния LANBAO PDB-CM8TGU;30 550 руб.;;https://sensoren.ru/product/opticheskiy_datchik_rasstoyaniya_lanbao_pdb_cm8tgu/;в наличии
Оптический датчик расстояния LANBAO PDB-CC50TGI;30 550 руб.;;https://sensoren.ru/product/opticheskiy_datchik_rasstoyaniya_lanbao_pdb_cc50tgi/;в наличии
Датчик скорости вращения IFM Electronic DI602A;;;https://sensoren.ru/product/datchik_skorosti_vrashcheniya_ifm_electronic_di602a/;под заказ
;;;https://sensoren.ru/product/datchik_skorosti_vrashcheniya_sensor_dks_m30_81s_1113_lg_01/;
;;;https://sensoren.ru/product/opticheskiy_datchik_rasstoyaniya_lanbao_pda_cc100tgi/;
;;;https://sensoren.ru/product/datchik_skorosti_vrashcheniya_ifm_electronic_di0101/;
;;;https://sensoren.ru/product/opticheskiy_datchik_rasstoyaniya_lanbao_pda_cc50tgi/;
;;;https://sensoren.ru/product/magnitostriktsionnye-datchiki-lineynykh-peremeshcheniy-mts-sensors-temposonics-rh/;
;;;https://sensoren.ru/product/opticheskiy_datchik_rasstoyaniya_ifm_electronic_o5d100/;
;;;https://sensoren.ru/product/datchik_skorosti_vrashcheniya_ifm_electronic_di5020/;
Ультразвуковой датчик SICK UD18-22CC241;98 550 руб.;"Страна происхождения:; Германия; Серия:; UD19; Температура эксплуатации Max, °C:; 60; Температура эксплуатации Min, °C:; 5";https://sensoren.ru/product/ultrazvukovoy_datchik_sick_ud18_22cc241/;под заказ
Датчик линейных перемещений TURCK LTX100M-F10-LI0-X3-H1151;186 400 руб.;"Конструкция:; Стержневой для установки в гидроцилиндры; Страна происхождения:; США; Давление в цилиндре max, Бар:; 680; Температура эксплуатации Max, °C:; 85; Температура эксплуатации Min, °C:; -40";https://sensoren.ru/product/datchik_lineynykh_peremeshcheniy_turck_ltx100m_f10_li0_x3_h1151/;под заказ
Ультразвуковой датчик Banner QT50UVR3WQ;209 100 руб.;"Число контактов, pin:; 5; Серия:; QT50U; Температура эксплуатации Max, °C:; 70; Температура эксплуатации Min, °C:; -20; Размер прямоугольного корпуса, мм:; 67,4x74x100,2";https://sensoren.ru/product/ultrazvukovoy_datchik_turck_qt50uvr3wq/;под заказ
Индуктивный датчик линейных перемещений Pepperl Fuchs PMI810-F110-IU-V1;173 000 руб.;"Серия:; F110; Разрешение, мкм:; 950; Температура эксплуатации Max, °C:; 70; Температура эксплуатации Min, °C:; -25";https://sensoren.ru/product/induktivnyy_datchik_lineynykh_peremeshcheniy_pepperl_fuchs_pmi810_f110_iu_v1/;под заказ
Индуктивный датчик линейных перемещений Pepperl Fuchs PMI40-F90-IU2EP-IO-V15-3G-3D;71 700 руб.;"Разрешение, бит:; 16; Серия:; F90; Разрешение, мкм:; 50; Температура эксплуатации Max, °C:; 85; Температура эксплуатации Min, °C:; -25";https://sensoren.ru/product/induktivnyy_datchik_lineynykh_peremeshcheniy_pepperl_fuchs_pmi40_f90_iu2ep_io_v15_3g_3d/;под заказ
Индуктивный датчик линейных перемещений Pepperl Fuchs PMI40-F90-3EP-IO-V15;58 300 руб.;"Разрешение, бит:; 16; Серия:; F90; Разрешение, мкм:; 50; Температура эксплуатации Max, °C:; 85; Температура эксплуатации Min, °C:; -25";https://sensoren.ru/product/induktivnyy_datchik_lineynykh_peremeshcheniy_pepperl_fuchs_pmi40_f90_3ep_io_v15/;под заказ
Ультразвуковой датчик Pepperl Fuchs UC4000-L2-I-V15-Y286494;118 900 руб.;"Серия:; UC; Температура эксплуатации Max, °C:; 70; Температура эксплуатации Min, °C:; -25";https://sensoren.ru/product/ultrazvukovoy_datchik_pepperl_fuchs_uc4000_l2_i_v15_y286494/;под заказ
Лазерный датчик расстояния Banner LT3NI;524 400 руб.;"Режим измерения:; Отражение от объекта; Диапазоны измерения расстояния:; 1 м ...< 10 м; Дальность измерения Min, м:; 0,3; Дальность измерения Max, м:; 5; Дальность измерения Min, мм:; 300";https://sensoren.ru/product/lazernyy_datchik_rasstoyaniya_banner_lt3ni/;под заказ
